[06/08/2020][12:56:57]  -system sys,start server 
[06/08/2020][12:56:57]  -system err, Reading Guild error - Guild counter zero 
[06/08/2020][12:57:04] IP: 192.168.0.103 ADMIN clo,fd 2-0 
[06/08/2020][12:57:04] IP: 192.168.0.103 ADMIN CNFAccountLogin Mac: -271216030.113987390.-1693738811.1456405556 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 62 2213 2063 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 223 2350 2128 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 233 2362 2118 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 259 2361 2160 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 324 2368 2215 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 328 2319 2223 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 342 2372 2226 
[06/08/2020][12:57:09]  -system err,No empty mobgrid: 475 2554 2142 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 566 2540 1986 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 574 2506 1964 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 644 2586 1970 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 700 2665 2004 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 883 2574 2059 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1088 2310 1719 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1098 2390 1616 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1172 2276 1726 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1206 2195 1693 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1230 2253 1735 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1260 2274 1572 
[06/08/2020][12:57:09]  -system err,No empty mobgrid: 1296 1952 1621 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1300 1960 1635 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1313 2002 1654 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1401 1886 1676 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1474 2202 1384 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1771 180 3773 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1830 279 3789 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1899 378 3789 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 1924 429 3752 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2119 492 3876 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2173 420 3982 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2212 408 3994 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2287 1005 4005 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2307 952 4002 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2500 832 3954 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2661 2322 2196 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2857 1198 4064 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 2864 1189 4049 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3070 1403 3752 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3114 1466 3757 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3850 2123 1630 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3851 2106 1637 
[06/08/2020][12:57:09]  -system err,No empty mobgrid: 3853 2086 1634 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3857 2067 1628 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3865 2050 1618 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3869 2082 1596 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3871 2108 1596 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3872 2120 1595 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3880 2087 1563 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3888 2080 1550 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3891 2133 1551 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3892 2150 1552 
[06/08/2020][12:57:09]  -system err,No empty mobgrid(1): 3901 2000 1574 
[06/08/2020][12:57:09]  -system
